2025-06-16 01:37:44.960 CDT [36] LOG:  checkpoint starting: time
2025-06-16 01:37:45.986 CDT [36] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.012 s, sync=0.003 s, total=1.026 s; sync files=7, longest=0.002 s, average=0.001 s; distance=21 kB, estimate=21 kB
2025-06-16 08:00:57.936 CDT [34] LOG:  received fast shutdown request
2025-06-16 08:00:57.939 CDT [34] LOG:  aborting any active transactions
2025-06-16 08:00:57.945 CDT [34] LOG:  background worker "logical replication launcher" (PID 41) exited with exit code 1
2025-06-16 08:00:57.946 CDT [36] LOG:  shutting down
2025-06-16 08:00:57.948 CDT [36] LOG:  checkpoint starting: shutdown immediate
2025-06-16 08:00:57.969 CDT [36] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.001 s, total=0.023 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=19 kB
2025-06-16 08:00:57.984 CDT [34] LOG:  database system is shut down
